流水號,程式設計,UNIX應用實務,微積分(I),普通物理學,計算機概論,總修學分數,實得學分數,高關懷
145,65,77,85,82,60,23.5,23.5,0
146,76,77,67,74,38,23.5,20.5,0
147,69,92,94,91,64,23.5,23.5,0
148,79,91,92,82,76,23.5,23.5,0
149,52,,78,72,60,18.5,15.5,0
150,76,85,98,92,66,23.5,23.5,0
151,60,72,84,82,68,23.5,23.5,0
152,66,96,74,78,60,23.5,23.5,0
153,60,63,88,76,60,23.5,23.5,0
154,70,60,71,69,46,23.5,20.5,0
155,70,85,79,68,60,23.5,23.5,0
156,47,75,75,71,60,23.5,20.5,0
157,67,,77,73,60,18.5,18.5,0
158,50,76,66,79,44,23.5,15.5,1
159,72,68,91,74,60,23.5,23.5,0
160,63,73,74,81,73,21.5,21.5,0
161,54,60,95,90,60,23.5,20.5,0
162,45,23,51,60,35,23.5,9.5,1
163,34,20,56,60,51,23.5,11.5,1
164,57,22,39,60,34,23.5,11.5,1
165,80,24,81,60,60,21.5,16.5,0
166,89,94,92,88,83,21.5,21.5,0
167,72,82,79,85,60,23.5,23.5,0
168,82,48,60,61,38,21.5,15.5,0
169,73,99,95,87,70,23.5,21.5,0
170,42,70,60,83,46,23.5,17.5,0
171,69,82,61,81,43,23.5,20.5,0
172,63,72,73,62,37,23.5,20.5,0
173,77,80,84,86,62,23.5,23.5,0
174,88,87,97,85,71,23.5,23.5,0
175,85,84,88,85,61,23.5,23.5,0
176,62,92,79,80,69,23.5,23.5,0
177,66,72,94,66,61,23.5,23.5,0
178,76,97,86,77,60,21.5,21.5,0
179,65,49,90,65,60,23.5,20.5,0
180, ,,,68,78,24.5,24.5,0
181, ,,,88,88,23.5,23.5,0
182,46,94,72,81,78,25.5,25.5,0
